# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	482
#@/user_id	6d88d04c-81af-4f7f-b919-dba7c1a0b662
hou duan 	後端	c=2 d=1.33063 t=482
hou xu 	後續	c=2 d=1.35751 t=482
hua 	話	c=2 d=0.811111 t=482
hui 	回	c=1 d=0.922983 t=482
hui 	會	c=3 d=1.34066 t=482
hui lai 	回來	c=2 d=1.99501 t=482
hui qu 	回去	c=2 d=1.75181 t=482
hui yi ci 	回一次	c=1 d=0.839457 t=482
huo 	活	c=3 d=2.67861 t=482
ji 	級	c=1 d=0.576604 t=482
ji hua 	計劃	c=2 d=1.92639 t=482
ji hui 	機會	c=2 d=0.779306 t=482
ji kuai qian 	幾塊錢	c=2 d=1.64979 t=482
ji shu 	技術	c=1 d=1.03031 t=482
ji shu fang an 	技術方案	c=1 d=0.937067 t=482
jia 	家	c=2 d=1.69156 t=482
jia ge 	價格	c=4 d=2.08091 t=482
jia ge 	加個	c=2 d=1.41999 t=482
jia le 	加了	c=1 d=0.790571 t=482
jian de 	撿的	c=2 d=1.8233 t=482
jian de 	間的	c=1 d=0.904837 t=482
jian kong 	監控	c=2 d=1.95551 t=482
jian ting 	監聽	c=2 d=1.24067 t=482
jiang lai 	將來	c=2 d=1.39885 t=482
jiao ben 	腳本	c=2 d=0.995012 t=482
jiao yan 	校驗	c=4 d=2.47897 t=482
jiao yi 	交易	c=2 d=0.914525 t=482
jie kou 	接口	c=10 d=6.65537 t=482
jie shu 	結束	c=5 d=2.79122 t=482
jin tian 	今天	c=2 d=1.99501 t=482
jing chang 	經常	c=2 d=1.97516 t=482
jing tan 	驚歎	c=2 d=1.99501 t=458
jiong 	囧	c=2 d=1.88825 t=482
jiu 	九	c=1 d=0.467666 t=482
jiu 	就	c=7 d=4.21816 t=482
jiu die 	就跌	c=1 d=0.790571 t=482
jiu xing 	就行	c=2 d=0.80304 t=482
jiu zhang 	就張	c=1 d=0.810584 t=482
jiu zhang 	就漲	c=1 d=0.814647 t=482
ju 	據	c=2 d=1.63338 t=482
ju zhu zheng 	居住證	c=1 d=0.431711 t=482
jue 	覺	c=2 d=1.98506 t=482
kai fa 	開發	c=2 d=1.85086 t=482
kai shi 	開始	c=4 d=2.19045 t=482
kai shou 	開售	c=2 d=1.40586 t=482
kan dao 	看到	c=2 d=0.990693 t=482
kao bei 	拷貝	c=2 d=1.37581 t=482
ke 	可	c=2 d=1.44867 t=482
ke fu 	客服	c=6 d=4.08165 t=482
ke yi 	可以	c=8 d=3.31207 t=482
ken ding 	肯定	c=1 d=0.715338 t=482
kou 	口	c=2 d=1.81421 t=482
kou dian 	扣點	c=4 d=1.95199 t=482
ku 	哭	c=2 d=1.91678 t=482
ku cun 	庫存	c=3 d=1.99663 t=482
kuang 	狂	c=0 d=0.097531 t=482
la 	啦	c=2 d=1.76942 t=482
lai 	來	c=2 d=1.27845 t=482
lai le 	來了	c=4 d=2.53111 t=482
lang fei 	浪費	c=0 d=0.0733447 t=482
le 	了	c=16 d=6.73919 t=482
lei mu 	類目	c=1 d=0.579236 t=482
lian 	臉	c=1 d=0.955997 t=482
lian jie 	鏈接	c=8 d=5.70822 t=482
lian lu 	鏈路	c=4 d=1.86232 t=482
lian ying 	聯營	c=10 d=6.77262 t=482
liang 	良	c=1 d=0.711668 t=482
liang pin ku cun 	良品庫存	c=1 d=0.647265 t=482
liao 	聊	c=1 d=0.904837 t=482
lie biao 	列表	c=2 d=1.10037 t=482
liu 	流	c=1 d=0.873192 t=482
liu cheng 	流程	c=3 d=1.53251 t=482
liu cheng tu 	流程圖	c=2 d=0.815176 t=482
liu qi 	六七	c=4 d=2.15768 t=482
luo hu 	落戶	c=1 d=0.423162 t=482
luo ji 	邏輯	c=2 d=1.70004 t=482
ma 	嗎	c=8 d=3.62173 t=482
mai 	買	c=1 d=0.435788 t=482
man 	滿	c=1 d=0.436049 t=482
mao 	貓	c=5 d=4.59214 t=482
mei 	美	c=1 d=0.382893 t=482
mei di fang 	沒地方	c=2 d=1.49279 t=482
mei ge 	每個	c=2 d=1.81421 t=482
mei guan xi 	沒關係	c=1 d=0.481909 t=482
mei hao 	沒好	c=0 d=0.0543351 t=482
mei hao shi 	沒好使	c=1 d=0.546074 t=482
mei shi 	沒事	c=1 d=0.472367 t=482
mei tuan 	美團	c=1 d=0.382893 t=482
mei yi si 	沒意思	c=2 d=1.55372 t=482
mei you 	沒有	c=1 d=0.941765 t=482
men 	們	c=1 d=0.697676 t=482
men kou 	門口	c=2 d=1.79616 t=482
miao 	秒	c=2 d=1.69156 t=482
ming ma 	明碼	c=2 d=1.99501 t=479
ming yue 	明月	c=0 d=0.088692 t=482
ming yue shuang pin 	明月雙拼	c=1 d=0.891366 t=482
mo 	末	c=1 d=0.573989 t=482
mo ji lei mu 	末級類目	c=1 d=0.522046 t=482
